Gene	Hits	Length
NA	12	43359
osbpl6	4	68451
cep128	5	23780
cop1	1	20591
tm2d1	3	16507
marchf7	15	30790
adck1	15	264084
zfand4	5	50073
rnf111	1	41993
naa30	0	13517
rab2a	0	26248
lmnb1	0	20629
has3	6	3092
ctnnb1	4	23291
gata3	4	10001
cdh11	1	26273
melk	5	20432
rap1b	5	85877
ube2e3	12	82440
smurf1	2	78316
frmd6	54	37357
tmx1	11	10219
vapb	9	55536
lmbrd1	11	170545
orc6	0	8849
snd1	0	297212
nsun2	4	43642
plxna4	1	199560
cndp2	21	21616
ints14	1	10631
taf3	4	83653
musk	0	95267
mdm4	1	25645
man1a2	3	210003
lrrfip2	6	52797
anp32a	10	4376
susd6	11	43149
reep5	1	21727
sulf1	7	68954
ivd	12	14355
apc	4	43222
agps	0	50294
kif18a	2	44027
tmed5	2	16489
atg13	12	13988
apbb1ip	3	38168
lin7a	1	99103
sap18	20	1918
ing3	7	11208
cul4a	1	10855
nek2	2	10746
ephx1	8	9905
epc2	4	18649
pde10a	0	115484
chic2	12	10293
raly	5	181505
gli3	1	291587
braf	1	29616
syk	37	45356
rsrc1	13	224985
acaa2	3	20253
slc35e1	2	13106
fez1	15	44122
tmem117	14	42711
usp25	1	72539
rcan2	13	135011
slc12a2	10	81930
efcab7	4	16721
rab7b	3	12130
prdm5	4	110583
ppp1r1c	4	55112
celf4	2	192649
peli2	5	50042
rpusd4	4	10562
hspbap1	12	25625
rbbp6	29	15048
med23	6	84480
hat1	0	31800
gjc2	6	25617
acsl5	49	17698
lin7c	5	19310
rbfox1	57	89571
sdhaf3	9	22391
srl	3	55205
cited2	13	2528
opa1	10	74958
fgf23	1	1716
spata18	39	10532
dlg2	3	365989
pkig	1	63464
micu2	1	10578
nr4a3	2	22831
hikeshi	5	2458
pdss1	48	9154
stard4	2	4072
babam2	4	182352
schip1	0	166165
trit1	7	77237
tusc3	25	146349
nudcd1	13	84330
lrmda	19	541642
pcbp3	6	61199
themis	3	16065
rad51ap1	8	6623
nfia	0	158005
dcun1d4	1	22508
sdccag8	12	93287
wdr37	1	48336
dennd4a	0	50016
ryk	4	100818
fosl2	12	15907
map1b	0	30946
papss1	2	41757
exoc4	27	210567
man2a1	2	198652
tom1l2	17	31919
mettl15	1	120752
erich2	5	9690
uhrf1bp1l	3	71580
rnf19b	1	20918
rgs6	1	126905
slco1c1	2	43944
rnmt	1	31920
soat1	1	19050
cyp39a1	17	28689
arsg	6	16930
anks1b	1	313253
ptpn22	4	38238
ldah	10	67826
ppfia2	0	245556
lama4	0	41080
zzz3	0	33288
sox5	2	70784
rbm45	5	19086
adcy7	6	44666
arid1b	0	154843
tpra1	3	18014
moxd1	1	44604
lpp	2	392217
mfsd1	5	12554
dcbld1	3	79604
mtf2	6	24707
aven	3	37831
hrh1	3	1605
nkd1	182	36432
vps4a	2	9742
osbpl9	10	58773
sec61b	10	7592
tbxas1	1	178583
fars2	0	178641
pacs2	2	79796
trps1	3	275326
mlxip	0	35599
psmd14	0	18309
kcnc4	7	36677
gpt2	3	11407
